Brand,Carbon (%),Silicon (%),Manganese (%),Sulfur (%),Phosphorus (%),Chromium (%),Nickel (%),Molybdenum (%),Tensile Strength (MPa),Hardness (HB),Elongation (%),Thermal Conductivity (W/m·K),Specific Heat (J/kg·K),Melting Temperature (°C)
Brand_D,4.33029570620903,2.4326467761253645,0.1657734058243135,0.05790626883563091,0.02478581589451684,0.07651546801895151,0.481189606704679,0.4690581807445975,184.24165863605896,337.37778781940193,2.33819324997023,26.75121197132598,647.1392846305102,1342.9765988327706
Brand_E,3.4128329589730226,1.1441686719973467,0.6601089381555215,0.01929385079875436,0.08048452878313275,0.488944710259966,0.1632938677227774,0.09061743247247807,276.692510179447,289.7087559526033,2.0691626487934025,34.3038567170115,544.3153382428955,1266.2769790673021
Brand_C,3.7416270596922305,1.1425134555305172,0.983060053086065,0.025527148925172587,0.02102480757693903,0.4825330846776334,0.05804182367436052,0.124454412768956,181.63632779909432,250.50508643009894,3.9364116463544896,23.977465405435375,602.2078537378399,1331.731112268072
Brand_E,4.306248452943239,1.024216950469775,0.2710968848053549,0.061117686758447254,0.06714159932378466,0.09022718936079377,0.26814041136470257,0.13910198838998564,269.1551140776351,338.1597001126215,0.9362812668202162,31.85228976164578,530.4952537511389,1311.7026546520822
Brand_E,3.7680965857834963,2.91300279659896,0.813335604659545,0.03667218521619596,0.021146142403523572,0.15671733115352224,0.03797854843813642,0.028531866910497306,340.90382474041417,313.43010717592506,2.0804765883731964,25.314063643790075,567.6170224637657,1328.9335248628026
Brand_B,2.381347607285653,2.475016718918014,0.9171089144016574,0.09444841557861845,0.016348207383366092,0.0590759487783158,0.06416615149120446,0.0702955405592592,214.56608947179086,214.0015165891671,4.267579997819567,30.908832463134708,417.41390110555113,1152.3253202570734
Brand_C,3.440720900417033,1.7065028170041283,0.9493314335381987,0.08368662065356458,0.0918486553317289,0.14314162346010806,0.11750080070616067,0.4933114622426394,270.19654204493185,202.24320142929935,0.800586847679774,31.20392650378166,608.87904259016,1343.1805983731622
Brand_C,3.51678761595714,1.5930711625753105,0.9641220439649025,0.09852104858622968,0.027111588968683514,0.40981833681345126,0.23753162244224943,0.16445620131487018,398.00399234920894,294.88797807626463,4.7405457845211085,49.79512368794998,415.847393345241,1244.7060325692958
Brand_C,3.060326678255965,1.699406459491699,0.5693136748493247,0.03337037550553726,0.0839125139103734,0.19537464751097713,0.22229295683142367,0.06649753426613417,321.6626058385093,275.1801381480873,4.938425790224058,49.84439087911316,645.1254840758949,1309.6365979149687
Brand_E,3.841110589061807,2.549307062362364,0.9795771171923533,0.09727512695181793,0.05901677839964223,0.05331451390191161,0.40184901238136767,0.062425717975565426,360.3391928262996,314.2445143447685,0.8985567822128604,23.44358835981837,647.4840788381673,1175.4408238675562
Brand_D,4.335917536922537,2.322741222140829,0.781579186420995,0.048811048281240214,0.017007086764789264,0.17769050714166323,0.37234258040321555,0.36253538415828623,253.71190164013643,305.5968585133767,1.8107263501508164,41.77906337985041,471.12318626686437,1229.188219162795
Brand_C,4.313921282266941,1.3703911357349359,0.24550429261326573,0.04127669157823792,0.09599033722942608,0.49087783377822725,0.21889596405544365,0.42873864537599404,341.9652307814638,286.2859607557775,2.175802997159103,21.552364390073034,497.0988343107401,1204.2921326041983
Brand_E,3.1270984285103305,1.3482186706681687,0.529210095821173,0.014531457427241792,0.03222650502927033,0.3185449616770094,0.17351506171205866,0.13590662675915025,160.12729323533046,347.68496917691164,3.9937611589372675,20.90576046011566,544.393113567488,1208.3317541001875
Brand_B,2.2830951146018883,1.1967912994267946,0.7464980578348036,0.014748873207364236,0.08736808108173459,0.2139188637390173,0.1650697041901343,0.020245661044265135,180.72779563556125,270.71025411876946,3.181670654525302,23.16001682734893,578.9988720797444,1174.6511239901763
Brand_D,4.462102997405836,2.3206054394026765,0.322606284237175,0.07228101303519893,0.025192900520610777,0.09160387161366229,0.3892575927740644,0.11931410903822434,200.76764823001554,199.22797860529238,3.3996456522165532,48.964569710238024,486.206098522599,1311.1527665086014
Brand_B,4.097245216114835,2.528745324443472,0.6765536651939986,0.05121360949906252,0.08685485939276676,0.49322663066901046,0.03551547904842217,0.037692688490411096,250.4879811538049,320.806506018718,3.9087942026832767,48.22590643684092,577.7459213895775,1151.8484629162156
Brand_D,2.311656703008167,1.530092856650008,0.6999404311419573,0.030386946343249517,0.01119059316147646,0.4122160145389331,0.016282608260196854,0.060663518948720345,361.4362195814408,222.81507159877054,1.0309054974666156,25.817834608420412,489.33612196878966,1212.5010913970405
Brand_E,4.302104706543431,1.0418899220618256,0.2464297694277093,0.06525732756927094,0.056060241091253266,0.14792387820095051,0.39981675204405753,0.22143897872534477,236.5665126969826,312.1413651844661,4.249442556096181,24.850170066611348,416.6472163213182,1184.8821086432831
Brand_A,4.174740905155321,1.1643433349528547,0.6085767812074806,0.03275723064251001,0.07924983214794011,0.04433366090338284,0.24380172423463417,0.12266000172219996,313.6552983788657,342.70820632000874,3.6752891188106482,27.21605259547841,400.75826494957266,1267.8077881216682
Brand_D,3.2970951428151802,2.9357200696900607,0.7944642198807469,0.06198685789099804,0.09413159657435051,0.037746523115003434,0.07413175789125222,0.26281348047745745,327.32857370087083,298.455237373938,3.098037763383666,35.46640982225426,430.34531737552857,1200.8504805229088
Brand_B,3.4781885893623232,1.5908895549548405,0.5490060980823478,0.04232878722844214,0.09182819225858384,0.06898529325771158,0.1254273079513056,0.13421193909602327,296.5455885220854,281.3251273614662,4.503809006523755,37.0911389610623,637.6752100492055,1201.7996909056199
Brand_E,2.9975067596753258,2.538446295676267,0.1108928050984967,0.08411970039506372,0.08376623825928804,0.2945766059710666,0.4669269370177174,0.4708632775404443,239.31049204253407,258.2656498647569,3.651378592477132,26.64780291318342,688.4293937150012,1247.6676287990638
Brand_D,2.136904097055078,2.2493271377085273,0.10813462217136297,0.08386265446901014,0.08993722146951737,0.4650940763906913,0.4311564580562,0.4539125442838696,294.2633354283861,241.94967721921856,1.4076498318396142,42.698683642698356,528.0898597843658,1280.5378078681852
Brand_A,2.8379931041147524,1.7638792793057918,0.42132640957301093,0.05296153583101613,0.027929771725336887,0.2534042797229324,0.35779467460974657,0.2877349914551284,235.56639819743657,240.01080766521216,2.4338542148405002,29.286595082079522,553.8051860349829,1174.2609409130328
Brand_A,4.007133621495028,1.4113745243911102,0.9335746615886038,0.04157371984015141,0.03557658661405559,0.4230432864035366,0.24629036286529002,0.18366775607381922,170.96843463800303,288.1833599706304,2.7231929012108,47.66393976588231,444.0544507220278,1185.1022904930992
Brand_C,2.011580057511507,1.2427728363188129,0.3058091016432479,0.04263038169031851,0.036007167242895266,0.22848444373130583,0.264958576833779,0.19676197219702043,398.2009945465036,307.7164298794168,0.7484793203768254,39.701681193701916,565.3094058040472,1199.4349489189035
Brand_C,2.8337479292278607,2.230025936077733,0.6709273199845184,0.08251430731013962,0.0439348537901529,0.35720593742623435,0.4878698222891397,0.2118076187408035,181.79561340812774,295.3479018123504,4.7958688101202505,33.09053582910835,443.3964706020931,1344.749642823592
Brand_B,2.9954217339773583,2.5492675612755757,0.29986828362398854,0.039536153451785086,0.04539886033466699,0.3686176412703854,0.4832275175033007,0.36651386784612255,168.08709595901433,213.72971720290565,1.078597673585953,43.69736005108536,583.3642993596491,1229.430499988584
Brand_D,3.3434890073448074,2.2878085070822616,0.38950299069359373,0.028815343633616146,0.0590099792189208,0.09524221589263593,0.11548183243505879,0.23130310780423058,369.63268730178896,263.97782062439353,3.6385757025202707,44.53743878139994,679.9776002742561,1269.7980181262053
Brand_D,4.299639041031901,2.0606042664983164,0.8632378806413356,0.017621950768777615,0.024389178702979727,0.18699586889814776,0.40744123748960587,0.42979767378788974,225.45866522322376,314.5788122711207,2.7780396624089607,28.71444816826831,458.7095617909119,1198.3085625431956
Brand_C,2.8658649859149032,1.0839024468632725,0.7559752980429522,0.052002380879596764,0.07221219974073904,0.32227805670363174,0.10664890642183822,0.4726064451058786,312.5742435183769,260.8696932921396,0.6153451244799016,30.19143631508253,629.3691154171306,1248.0919050314976
Brand_D,2.867383004740569,2.9369775551887676,0.18585934958188957,0.053391888902785775,0.025080988537405584,0.04464133801033943,0.11463336416313617,0.17461361515567758,232.2514324155582,271.225957555034,4.661363641389627,48.0786546118581,407.0507268454972,1164.8238348771915
Brand_D,3.843753120274371,2.597428383309149,0.48583181888779026,0.08568178393626165,0.03792776338940928,0.18715469200384874,0.34128558674064263,0.2847402958740833,247.86356769861777,311.09312818903976,4.3332656396852,24.94223115089816,512.6491723964863,1156.9484291844653
Brand_A,3.130544852224518,1.5856440734019295,0.12625278728073802,0.029911482680145762,0.05530106175455387,0.2720517384777843,0.20845053830789873,0.05657770304795657,215.5282430041991,292.4151020650655,2.85916067556726,21.264512508888025,433.2245523491527,1243.746705364292
